Lemma,Soort,Standaard,Aangetroffen,URI
bak,voorwerp,bakken,backen,https://data.goldenagents.org/boedellexicon/voorwerp/bak
bakaker,voorwerp,bakaker,backaecker,https://data.goldenagents.org/boedellexicon/voorwerp/bakaker
bakaker,voorwerp,bakaker,backaker,https://data.goldenagents.org/boedellexicon/voorwerp/bakaker
bakaker,voorwerp,bakakers,,https://data.goldenagents.org/boedellexicon/voorwerp/bakaker
bakaker,voorwerp,bakakertje,backakertje,https://data.goldenagents.org/boedellexicon/voorwerp/bakaker
bakaker,voorwerp,bakakertjes,,https://data.goldenagents.org/boedellexicon/voorwerp/bakaker
bakerdoek,voorwerp,bakerdoek,,https://data.goldenagents.org/boedellexicon/voorwerp/bakerdoek
bakerdoek,voorwerp,bakerdoeken,,https://data.goldenagents.org/boedellexicon/voorwerp/bakerdoek
bakerdoek,voorwerp,bakerdoekje,,https://data.goldenagents.org/boedellexicon/voorwerp/bakerdoek
bakerdoek,voorwerp,bakerdoekjes,baackerdoekies,https://data.goldenagents.org/boedellexicon/voorwerp/bakerdoek
bakermat,voorwerp,bakermat,baackermat,https://data.goldenagents.org/boedellexicon/voorwerp/bakermat
bakermat,voorwerp,bakermatten,,https://data.goldenagents.org/boedellexicon/voorwerp/bakermat
bakker,beroep,bakker,backer,https:/www.vondel.humanities.uva.nl/ecartico/occupations/14
bakker,beroep,bakkers,,https:/www.vondel.humanities.uva.nl/ecartico/occupations/14
bakkersknecht,beroep,bakkersknecht,bakkersknegt,https://www.vondel.humanities.uva.nl/ecartico/occupations/1487
bal,voorwerp,bal,bal,https://data.goldenagents.org/boedellexicon/voorwerp/bal
bal,voorwerp,ballen,ballen,https://data.goldenagents.org/boedellexicon/voorwerp/bal
bal,voorwerp,balletje,,https://data.goldenagents.org/boedellexicon/voorwerp/bal
bal,voorwerp,balletjes,,https://data.goldenagents.org/boedellexicon/voorwerp/bal
balans,voorwerp,balans,balance,https://data.goldenagents.org/boedellexicon/voorwerp/balans
balans,voorwerp,balansen,,https://data.goldenagents.org/boedellexicon/voorwerp/balans
baliemand,voorwerp,baliemand,baliemandt,https://data.goldenagents.org/boedellexicon/voorwerp/baliemand
baliemand,voorwerp,baliemand,balymandt,https://data.goldenagents.org/boedellexicon/voorwerp/baliemand
baliemand,voorwerp,baliemanden,,https://data.goldenagents.org/boedellexicon/voorwerp/baliemand
balijn,stofnaam,balijn,,https://data.goldenagents.org/boedellexicon/stofnaam/balijn
balijn,stofnaam,balijnen,balyne,https://data.goldenagents.org/boedellexicon/stofnaam/balijn
Balthazar,eigennaam,Balthazar,Balthazar,https://data.goldenagents.org/boedellexicon/eigennaam/Balthazar
band,voorwerp,band,bandt,https://data.goldenagents.org/boedellexicon/voorwerp/band
band,voorwerp,banden,,https://data.goldenagents.org/boedellexicon/voorwerp/band
band,voorwerp,bandje,,https://data.goldenagents.org/boedellexicon/voorwerp/band
band,voorwerp,bandjes,bandekens,https://data.goldenagents.org/boedellexicon/voorwerp/band
bandelier,voorwerp,bandelier,bandelier,https://data.goldenagents.org/boedellexicon/voorwerp/bandelier
bandelier,voorwerp,bandeliers,bandeliers,https://data.goldenagents.org/boedellexicon/voorwerp/bandelier
