object,object_en
Handblaeckers,
Handmouwen,
Handoeken,Towels
Handtbeckertje,
Handtdoeck,Towel
Handtdoecken,Towels
Handtdoeckjens,Small towels
Handtschoenen,Gloves
Hanghblaecker,
Hanghijser,
Hanghtresoor,
Hangijser,
Hantdoecken,Towels
Hantdoeken,Towels
hantsagen,
Hantschoenen,Gloves
hantschoentjes,Small gloves
hardersbeeldeken,
harenmutzjen,
Haspels,Reels
Hechten,
Heertijser,
Heften,
Hellebaerd,Halberd
hembden,
Hembdt,Shirt
Hembtrock,
Hemden,Shirts
Hemdt,Shirt
hemt,Shirt
Hemtrocken,
Henghsel,
Hengsel,
hengsels,
Heugel,
Historie,
Historien,
Historieschilderij,History painting
historieschilderijen,History paintings
Historieschilderijtje ,Small history painting
historieschildery,History painting
Historyschilderijtje,Small history painting
Hoed,Hat
Hoeden,Hats
Hoedt,Hats
hoedtbandt,
Hoenderkouw,
Hoep,
Hoepelrokken,
hoepje,
hoepring,
hoepringetjes,
Hoepringh,
Hoet,
Hoij,
Hondehock,
Hooffden,
Hooftkussen,
Hooftkussens,
Hooftkussentjens,
Horalogie,Watch
Horentjens,
Horloge,
Horologie,
horologies,
Hout,
Houtbacken,
Houtcool,
Houtekoolen,
houtstelletje,
Houtwerck,
Houwerk,
huegeltie,
Huijck,
Huijcken,
Huijffjens,
huijk,
Huijken,
Huijmpje,
Huijs,
Huijsboeck,
Huijsen,
Huijven,
Hulletjens,
Huurcedull,
Huyke,
IJser,
IJserpothenghsel,
Ijsers,
Ijserwerck,
IJzer,
IJzerdraat,
IJzers,
Inckpott,Ink pot
Incktkoker,
Inktpot,
Inlantsvaertje,
Innocent,
Innocenten,
innocentrock,
Instrumenten,
iserwerck,
Jack,
Jackgen,
jackje,
Jacobus,
Jakken,
Japon,Robe
Japon,Robe
joffrouwstronytge,
Juffer,
Juffersgeselschapje,
juweelcoffertjen,
Juweelkoffertje,
Juweeltje,
Juwelen,
Kaas,
Kabas,
Kabasbakies,
Kabasjes,
kabelringh,
Kabinetje,
Kachel,Stove
Kackstoel,
Kackstoeltie,
Kaersla,Candle drawer
Kaerslade,Candle drawer
kaerslae,Candle drawer
kaertiens,
Kaertje,
Kaesbackje,
kametmutsen,
Kammekoockertje,
Kan,
kandelaar,Chandle holder
Kandelaars,Chandle holders
Kandelaer,Chandle holder
Kandelaers,Chandle holders
Kanne,
Kannebord,
Kannebordt,
Kannebort,
kanneborties,
Kanneken,Jug
Kannen,Jugs
Kannetge,Jug
kannetgen,Jugs
kannetie,Jug
kannetien,Jug
kanneties,Jugs
Kannetje,Jug
Kannetjens,Jugs
kannetjes,Jugs
Kaper,
Kapers,
Kapje,
Kapjens,
Kapkettinckje,
Kapluijers,
Kapmantje,
kapstock,
Kapstockje,
Kapstok,Coat reck
Karolijn,
Karpetgardijn,
Karpetspree,
Karpoes,
Kas,
Kasdoecken,
Kasdoeckjens,
Kasje,
Kasjens,
Kast,
Kattoen,Cotton
Keerslade,Candle drawer
kelckijes,
Kelckjens,
Kelckjes,
kerckstoel,
kerckstoelen,
Kerckstooff,
Kerckstoofge,
Kersnacht,
Ketel,Boiler
Keteldecksel,
Keteldecksels,
Ketels,Boilers
Keteltje,
Keteltjens,
Keten,
Ketin,Chain
ketincken,Small chain
Keting,Chain
ketingh,Chain
ketinhaak,
Kettinckje,Small chain
Kettincxkens,Small chains
ketting,Chain
Kettingh,Chain
Kettinghje,Small chain
kettingjens,Small chains
Kettingsken,Small chain
Kettinkje,Small chain
keuckenschilderije,
Keurslijf,
Kevier,
kinderehooffgens,
kinderhembtjes,
Kinderkackstoel,
Kindermantel,
kinderschoenen,
kindrendans,
Kindshooffd,
Kindskontrefeijtsel,
Kinmutsjes,
Kisjes,
Kisselier,
Kist,Box
Kiste,Box
Kistgen,
Kistje,
Klapmuts,
Klapmutsjens,
klapmutsjes,
Klauwringh,
Klederen,Clothes
kleecker,
Kleedge,Small carpet
Kleedgen,Small carpet
kleerenkas,
Kleermanden,
Kleerreck,
Kleersacken,
Kleerschuijer,
Kleerstock,
Kleerstocken,
Kleertaeffeltje,
Kleet,Carpet
Kleetgen,Small carpet
Kleetje,Small carpet
klijnigheden ,
klijnodien,
klinckhamers,
kloott,
Kluijsgissen,
Knaap,
kneusen,
Knijffmuts,
Knijpvlesje,
knipbeugeltjes,
knipjes,
Knoopen,
Knoopjes,
Knop,
knopen,
Knopjens,
knopvlesse,
Koecken,
Koecxijser,
Koecxpan,
Koecxpannen,
koekepan,
koekijser,
Koekplaatje,
Koelvadt,
Koetswagen,
Koffer,Suitcase
koffertie,Small suitcase
koffertjen,Small suitcase
Koffijkan,Coffee can
Koffijkopjes,Coffee cups
Koker,
Kokernoot,
Kolder,
kolkdeksel,
Kom,Bowl
kometjes,Small bowls
Kommen,Bowls
Kommetjens,Small bowls
kommetjes,Small bowls
Kompasje,Little compass
Konincxdaelders,
konstboeck,
konterfeijtjeltjes,
Kontrefeijtsel,
kontrefeijtsels,
Kontrefijtsel,
konvoor,
koockenschilderij,
Koockenschilderijtje,
Koockertje,
Kookketels,
Koort,
Koortjens,
Kop,Cup
Kopjens,Small cups
Kopjes,Small cups
koppe,Cup
Koppen,Cups
koppjes,Small cups
Kopstuck,
Kopstucken,
Kousen,Stockings
Kousjens,
Koussen,Stockings
Kouw,Cage
Kouwen,Cages
Kouwetgens,Small cages
Kouwse,
kraackkap,
Kraeckkommen,
Kraensaegh,
Kraensaeghheften,
kraensagen,
Kragen,Collars
Kraghen,Collars
Krampringetje,
Kranen,
Krantjes,
Krebbeddetien,
Krenssen,
krijtrolletjens,
Kroese,
Kroesje,
Kronen,
Kroonen,
Kroontje,
Kropbootje,
Kroplap,
kruijcken,Jars
Kruijdshoorntje,Small powder horn
Kruijdtboeck,
Kruijsjefix ,Crucifix
Kruijsrijcxdaelders,
Kruijtdoos,
Kruijtdoosje,
kruijtsvaeten,
Kruijwagens,
Krukken,
krullen,
Krusaet,
kruysefix,Crucifix
kruysseficx,Crucifix
Kuijp,
Kuijpje,
kuijtgespen,
kunst,Art
kurkje,
Kussens,
kussentie,
Kussentje,
laacken,Sheet
laackens,Sheets
laatjen,
laatjes,
Labaer,
Labaren,
Labbekacken,
Labbekacks schaelen,
lackwerckens,
Laddertje,
Lae,
Laecken,
Laeckentjens,
Laersen,
Lampe,
Lampen,
lampenblaker,
lampet,
Lampetschotel,
Lampetschotels,
Lampetten,
Lampje,
Landschapje,
Landschapjens,
Landschapschilderijtje,
landschaptien,
landschaptjens,
landtschappien,
landtschappjen,
Lantaren,Lantern
Lantarentje,
lantarentjes,
Lanteerne,
Lanterens,
Lantschapge,Small painting of a landscape
lantschapgen,Small painting of a landscape
Lantschapgens,Small paintings of a landscape
lantschapie,Painting of a landscape
Lantschapje,Small painting of a landscape
Lantschapjens,Small paintings of a landscape
lantschapken,Small painting of a landscape
lantschappen-schilderij,Small paintings of a landscape
Lantschappge,Small painting of a landscape
Lantschappgens,Small paintings of a landscape
Lantschappien,Painting of a landscape
lantschappje,Painting of a landscape
Lantschapschilderij,Painting of a landscape
lantschapschilderije,Painting of a landscape
Lantschapschilderijen,Small paintings of a landscape
lantschapschilderijtge ,Small painting of a landscape
Lantschapschilderijtgen,Small paintings of a landscape
Lantschapschilderijtje,Small painting of a landscape
lantschapschildery,Painting of a landscape
lantschapyen,Painting of a landscape
Lap,
Lapgen,
Lapgens,
Lapje,
Lapjens,
Lappen,
lappjen,
lappjens,
latatjen,
latjens,
Latten,
Ledecant,Crib
Ledekant,Crib
Leden,
Leepels,Spoons
Leeu,
Leeuw,
Leeuwerixkouw,
Leeuwtjens,
Legendeboeck,
Legerstuckje,
Leijen,
Leijst,Frame
Lepel,Spoon
Lepelbort,
lepelhuijsje,
Lepels,Spoons
Lepeltje,Small spoon
Lepeltjens,Small spoons
Lessenaer,
Letter,
Letteren,
Letters,
Levereijkoort,
Lidtten,
Lieve-Vrous-beeldtje,
Lieve-Vrouwenbeelt,
Lijffgen,
Lijffrentebrieff,
lijnwaat,Wade
lijnwaet,Wade
lijnwate,Wade
lijsgens,
Lijst,Frame
Lijste,Frame
lijsten,Frames
Lijstgen,
lijstjens,
Lijwaet,Wade
Linckermantgens,
linden,
lindenwerck,
lindewerck,
Lindje,
Linien,
Linne,
Linnen,
linnenwerck,
Linten,
Lintten,
Lit,
Litt,
litte,
Lobbedoossen,
Lobbekens,
Lobben,
Looden,
Looghborstel,
Loopspit,
Loot,
Lootwerk,
Lopers,
Losrente,
Lubben,
Luijer,
luijermanden,
Luijermandt,
Luijermanskasje,
Luijermantie,
Luijertjens,
Luijwagen,
Luitten,
Lutsen,
lysge,Small frame
Lyst,Frame
Lysten,Frames
Lystgen,Small frame
maantjes,
machaijer,
Maentge,
Maentje,
Maeten,
mallen,
Mand,Basket
Mandekens,Small Baskets
Mandewerck,
maneschijntgen,
Maneschijntie,
maneschijntje,
Mangebordt,
mangelboort,
Mangelborden,
Mangelstock,
manneschyntge ,
mansbeffen,
mansclederens,
manscontrefeijtsel ,
manscontrefejtsel,
Manshembden,
manshemden,Men's shirt
Manshooft,
manshorloge,Men's watch
Manskleedt,
Mansmutsen,Men's caps
Mansonderklederen,
Mansrock,
mansrok,
manstronie ,
Manstronien ,
Mant,Basket
Mantel,Cloak
Mantels,Cloaks
Mantelstocken,
Manteltgens,
Manteltje,
Mantien,
Mantje,
Mantjens,
Marcktemmer,Market bucket
Marctemmers,Market buckets
Mariabeeldt,Maria statue
Mariabeeltje,Small Maria statue
Mariabordeken,
Marienbeeltien,Small Maria statue
Martemmer,Market bucket
Maryenbeelken,Small Maria statue
Maryenbeelt,Maria statue
Mat,
Matje,
Matras,Mattress
matrasjes,
matstoelen,
Matstoeltjens,
Matt,
Matten,
Mattras,Mattress
Medicijnboeck,
Memoriaelboeck,
Memoriaelboecxke,
Memorieboecxke,
Mengelskannen,
Mes,Knife
Mesjens,Small knifes
Messekoocker,
Messen,Knifes
Messjens,Small knifes
Missiven,
Missivens,
Moesselwijn,
Mof,
Moff,
Moffekas,
Moffel,
mofje,
monsters,
monstertjes,
moockers,Mokers
Mortier,Mortar
moskels,
Mosschaeltjens,
Mosschaeltjes,
Mostartlepeltje,
Mostartpot,Mustard pot
Mostartpotje,Small mustard pot
Mostartpott,Mustard pot
Mostartpotten,Mustard pots
mosterbot,Mustard pot
mosterpotte,Mustard pot
Mostertpodt,Mustard pot
Mostertpot,Mustard pot
Moszertpot,Mustard pot
motzen,
Mout,
Moutjes,Small sleeve
mouwe,Sleeve
Mouwen,Sleeves
mouwknoopjes,
Munt,
Mus,
Musjes,
Musquet,Musket
musquets,Muskets
Musquetten,Muskets
Muts,Cap
Mutsen,Caps
Mutsjens,Small caps
Mutsjes,Small caps
Mutzien,Small caps
Naaijdoosje,
naalt,
Nachtbagijntjes,
Nachthalsdoeck,
Nachthalsdoecken,
Nachthalsdoeken,
Nachtien,
nachtschilderijtje,
Naeldekokertje,
Naeldekoocker,
Naelden,Needles
Naelt,Needle
naeltwerck,
nagthalsdoek,
Nagtmutsen,
Naijkussen,
Napje,
Nappen,
neersticken,
neerstickjes,
Neerstikken,
Neerstucken,
Neijmantien,
Neijmanties,
Neteldoekje,
Netten,
Neusdoecken,
neusdoek,
Neusdoeken,
Nobel,
Nobels,
noppjens,
noppjes,
Nota,
Obligatie,
Obligatien,
Octaefbijbeltje,
oesterbancketje,
oesterbancquetge,
oilietten,
Oirlogie,Watch
oirringen,Earrings
Oirringetjes,Small earrings
ojisten,
ojistjens,
Oliekan,Oil can
Oliekannetje,Small oil can
Olijkan,Oil can
Olijkannetje,Small oil can
Olijpoties,
Olijpotje,
Olijpotjens,
Olijsteenen,
Onbijtschilderij,
Onderbroeck,
Onderbroecken,
onderbroek,
Onderklederen,
Onderkleet,
Onderkousen,
Ondermoutjes,
Ondermutsen,
Onderreem,
Onderriem,
Onderriemen,
Onderrock,
Onderrockjens,
Onderrokken,
Ondersteeckbecken,
Ondersteeckbeckien,
Ontbeijten,
ontbijtenge,
Oogje,
Oorcussens,
Oorijser,
Oorijsertje,
Oorkussens,
oorstuckijens,
Opera,
Oproerpenning,
Ordonnantie,
Orlietten,
Orlogie,
Ossen,
oudemansklederen,
Overmouwen,
Overtrecksels,
paarlen,
paarltjes,
Pack,
Packjens,
Paendertgens,
Paerden,
paerlen,
paerltje,
paerltjes,
Palmboren,
Pan,
pandant,
pandanten,
Pandantjes,
Paneel,
Panelen,
Panjetten,
Pankoekspan,
Panneel,
Pannekoeckspan,
Pannen,
pannetie,
pannetjen,
Papegaijekop,
Papegaijekopjes,
Papegaijskoppen,
papers,
Papier,Paper
Papiere,
Papieren,Papers
Paplepeltje,
parckement,
Pareltjes,Small pearls
parreltjens,Small pearls
Pars,Press
Parsgen,Small press
Parsje,Small press
Parssen,
Part,
parten,
Paruijck,Peruke
Paruijcken,Perukes
paskaert ,
Paskaerte,
passers,
Paternoster,
Patroonen,
Patroonkas,
Pauli-tronie,
Peerevlesje,
peerlen,
peerlspelden,
peerltjes,
Peij,
peiluwlaecken,
pelerine,
Pelterije,
Pen,
Penelen,
Pennen,
Penning,
Penningen,
Penningh,
Penninxcke,
penteeckeningh,Pen drawing
penteijckeningh,Pen drawing
Peperbosje,
Peperdoosje,
peperdoosjeen,
perel,
perelspelden,
personagie-groote-schilderijen,
perspecktief ,
Perspectief,
Perspectieff ,
perspectieffjens,
Perspectiefje,
perspectyf ,
