Standaard,Aangetroffen
kledingstokken,Cleerstocken
kledingstokken,Cleerstokken
kledingtafel,Cleertaeffel
kledingtafel,Cleertafel
kleed,Cleet
kleedje,cleetien
klikkers,Clickers
,clouxjens
kluchten,Cluchten
knaap,Cnaap
koffer,Coffer
koffertje,Coffertgen
koffiekan,Coffijkan
colloquia,Colloquia
kom,Com
komfoor,Comfoor
kommen,Commen
kommetjes,commetjes
kantoorstoel,Comptoirstoel
kantoortje,Comptoirtje
concordantie,Concordantie
komfoor,Confoor
konterfeitsels,conterefeijtsels
konterfeitsels,Conterfeijstels
konterfeitselschilderij,conterfeijtschilderije 
konterfeitsel,conterfeijtsel
konterfeitsels,Conterfeijtsels
konterfeitsel,conterfejtsel
konterfeitsel,conterfeytsel
konterfeitselschilderij,conterfijtschilderije
konterfeitselschilderij,conterfijtschilderijen
konterfeitseltjes,contirfeijtseltges
konterfeitsel,contrafeijtsel 
konterfeitsel,contrafeijtsels 
konterfeitsel,contrefeijtsel 
konterfeitsels,Contrefeijtsels
konterfeitsel,contrefeijtzel 
konterfeitseltjes,contrefeijtzeltiens
komfoor,Convoir
komfoor,convoor
kopjes,coopiens
koord,Coord
,coostjes
kop,Cop
koperen,coperen
koperplaatje,coperplaetje
kopjes,Copgens
kopie,Copie
kopietjes,copijties
kopjes,Copjes
koppen,coppen
kopje,coppjen
kopjes,coppjes
kopie,copye
kopietje,copytje
koraal,corael
koralen,Coralen
corset,Corchet
corsethaak,corchethaak
coralijne,Corlijne
corrigeerbank,Corrigeerbanck
corrigeertafel,Corrigeertaeffel
corset,Corsjet
corsethaken,corsjethaaken
cursief,Corssijff
cursief,Corrosijt
cursief,Corrosijf
coulant,coulang
kleurige,couleurde
kleurige,couleurden
kleurige,couleurt
kousen,cousen
kraaltjes,craaltjes
kraakkommen,Craeckkommen
kralen,Cralen
,crapper
kreeft,Creeft
kristallijne,Cristalijne
van Christus,Cristi
van Christus,Cristy
kroniek,Cronijck
crucifix,crucifix
crucifix,cruijcifix
kruis,cruijs
crusaten,Cruijsaden
crucifix,Cruijseficx
crucifix,cruycefix
crucifix,cruyseficks
crucifix,cruyseficx
crucifix,cruysefix
kuipjes,Cuijpgens
kunst,cunst
Cupido,Cupido
Cupidootje,Cupidootje
kussens,cussens
kustingsbrief,Custingsbrieff
de Ark van Noach,d'arke Noij
de Engelse groet,d'engelsche groet
daalder,Daelder
daalders,Daelders
Daiphilo,Daiphilo
damast,Damast
damasten,Damaste
Damiate,Damiaat
Danae,Danae
das,Das
dasjes,Dasjens
dassen,Dassen
dasjes,dassjes
David,David
David,Davidt
deken,decken
dekseltje,deckseltie
dekseltje,deckseltjen
decreetbrief,Decreetbrieff
deksel,Decxel
dekseltjes,Decxeltjens
deken,Deecken
dekens,Deeckens
degen,Deegen
degens,Deegens
deken,Deeken
degens,Degens
degen,Deghen
dekbed,dekbed
deken,Deken
dekentje,dekentie
deksels,Deksels
Delft,Delff
Delftse,Delffse
Delfts,Delfs
Democriet,Democriedt
deurslag,Deurslach
deurslag,Deurslagh
dekseltje,Dexeltje
diamant,Diamant
diamanten,Diamante
diamanten,diamanten
diamantje,Diamantje
diamantje,diamantjen
diamantjes,diamantjes
diamantsteentjes,diamentsteentjes
Diana,Diana
Dionisius,Dionisius
dissels,dissels
distileerketel,Disteleerketel
dobbelstenen,Dobbelsteenen
dobbelsteen,dobbesteen
documenten,Documenten
doek,Doeck
doeken,doecken
doekhuiven,Doeckenhuijven
doekhuiven,doeckhuijken
doekhuiven,Doeckhuijven
doekjes,doeckijes
doekhuiven,Doekehuijven
dompertje,Dompertje
doodskist,Doodskist
doofpot,Dooffpott
doofpotten,Dooffpotten
doofpot,doofpot
doofpotje,Doofpotje
doofpot,doofpotte
doopluier,Doopluyer
Doorniks,Doornix
doos,Doos
dozen,Doosen
doosje,Doosje
doosje,doosjen
dozen,Doossen
doodshemd,Doothembdt
doodspenning,Dootpenningh
doodschuld,Dootschult
doodshoofden,Dootshoffden
doodshoofd,Dootshoof
doodshoofd,Dootshoofd
doodshoofden,dootshoofden
doodshoofden,dootshooffden
doodshoofd,Dootshooft
doodshoofdschilderij,dootshooftschilderij
doek,Douck
draaisteen,Draaijsteen
draagbanden,Draeghbanden
draagband,Draeghbant
draagberrie,Draeghberre
drekwagens,Dreckwagens
drevelhamer,Drevelhamers
dreveltje,dreveltjens
driekoningengroetje,Drie-Koninghs-groetje
drieling,Drielingh
drielingschotels,Drielinghschotels
driepoten,Driepoten
drijfhamers,Drijffhamers
drielingen,Drijlingen
drieling,Drijlingh
drillen,Drillen
droogdoeken,Droogeldoecken
droogdoeken,Drooghdoecken
droogschuursters,drooghschuirsters
drooplepel,Drooplepel
drukpers,Druckpars
drukbak,Drukbak
Driekoningen,Dry Coningen
dubbele,dubbelde
ducaten,Ducaaten
ducaten,Ducaten
ducaton,Ducaton
duit,Duijt
duit,Duijt
duiten,Duijten
duit,Duit
ducaat,Dukaet
ducatons,Dukantons
ducaten,Dukaten
ducaton,Dukaton
dundoek,dundoeck
ebben,Ebbe
ebben,ebben
ebbenhouten,Ebbenhoute
ebbenhouten,Ebbenhouten
eiken,eecke
eiken,eecken
