E	43336		43336	0.000580253	ngram	1	0.000599588
wille	42996		42996	0.000575701	ngram	1	0.000594883
woonende	42937		42937	0.000574911	ngram	1	0.000594067
desselfs	42579		42579	0.000570117	ngram	1	0.000589114
Groe	42391		42391	0.0005676	ngram	1	0.000586513
vander	42297		42297	0.000566342	ngram	1	0.000585212
mitsgaders	42292		42292	0.000566275	ngram	1	0.000585143
Quod	42024		42024	0.000562686	ngram	1	0.000581435
Winter	42017		42017	0.000562593	ngram	1	0.000581338
Holland	41213		41213	0.000551827	ngram	1	0.000570214
volgens	41176		41176	0.000551332	ngram	1	0.000569702
H	41072		41072	0.000549939	ngram	1	0.000568263
zijnde	40733		40733	0.0005454	ngram	1	0.000563573
10	40616		40616	0.000543834	ngram	1	0.000561954
rechte	40304		40304	0.000539656	ngram	1	0.000557637
#	39414		39414	0.000527739	ngram	1	0.000545324
heeren	39007		39007	0.00052229	ngram	1	0.000539692
man	38510		38510	0.000515635	ngram	1	0.000532816
Compten	38351		38351	0.000513506	ngram	1	0.000530616
sulx	38226		38226	0.000511832	ngram	1	0.000528887
waer	38198		38198	0.000511457	ngram	1	0.000528499
recht	38106		38106	0.000510226	ngram	1	0.000527226
staende	37903		37903	0.000507508	ngram	1	0.000524418
al	37783		37783	0.000505901	ngram	1	0.000522757
G	37575		37575	0.000503116	ngram	1	0.00051988
bekent	37519		37519	0.000502366	ngram	1	0.000519105
moeten	37222		37222	0.000498389	ngram	1	0.000514996
Johannes	37084		37084	0.000496541	ngram	1	0.000513086
Jaren	36942		36942	0.00049464	ngram	1	0.000511122
P.	36889		36889	0.00049393	ngram	1	0.000510388
stede	36778		36778	0.000492444	ngram	1	0.000508852
gemaeckt	36678		36678	0.000491105	ngram	1	0.000507469
Hendrik	36626		36626	0.000490409	ngram	1	0.000506749
doende	36552		36552	0.000489418	ngram	1	0.000505726
gls	36432		36432	0.000487811	ngram	1	0.000504065
rechten	36334		36334	0.000486499	ngram	1	0.000502709
Item	36303		36303	0.000486084	ngram	1	0.00050228
selven	36302		36302	0.000486071	ngram	1	0.000502267
Alles	36046		36046	0.000482643	ngram	1	0.000498725
f	35916		35916	0.000480902	ngram	1	0.000496926
welcke	35809		35809	0.00047947	ngram	1	0.000495446
fo	35754		35754	0.000478733	ngram	1	0.000494685
Gerrit	35657		35657	0.000477434	ngram	1	0.000493343
persoon	35625		35625	0.000477006	ngram	1	0.0004929
ook	35602		35602	0.000476698	ngram	1	0.000492582
alsoo	35596		35596	0.000476618	ngram	1	0.000492499
anders	35217		35217	0.000471543	ngram	1	0.000487255
voorts	34949		34949	0.000467955	ngram	1	0.000483547
deesen	34780		34780	0.000465692	ngram	1	0.000481209
De	34750		34750	0.00046529	ngram	1	0.000480793
Jaars	34738		34738	0.000465129	ngram	1	0.000480627
welke	34666		34666	0.000464165	ngram	1	0.000479631
geweest	34634		34634	0.000463737	ngram	1	0.000479189
huijs	34413		34413	0.000460778	ngram	1	0.000476131
vooren	34244		34244	0.000458515	ngram	1	0.000473793
naer	34099		34099	0.000456573	ngram	1	0.000471786
boven	33863		33863	0.000453413	ngram	1	0.000468521
tegens	33746		33746	0.000451847	ngram	1	0.000466902
nabesz	33732		33732	0.000451659	ngram	1	0.000466709
obligatie	33565		33565	0.000449423	ngram	1	0.000464398
houden	33416		33416	0.000447428	ngram	1	0.000462337
dit	33302		33302	0.000445902	ngram	1	0.000460759
laten	33296		33296	0.000445821	ngram	1	0.000460676
aende	33201		33201	0.000444549	ngram	1	0.000459362
P	33188		33188	0.000444375	ngram	1	0.000459182
waar	33151		33151	0.00044388	ngram	1	0.00045867
Abraham	32996		32996	0.000441805	ngram	1	0.000456526
eerste	32904		32904	0.000440573	ngram	1	0.000455253
weduwe	32880		32880	0.000440251	ngram	1	0.000454921
gestelt	32490		32490	0.000435029	ngram	1	0.000449525
gehouden	32472		32472	0.000434788	ngram	1	0.000449276
behoeven	32304		32304	0.000432539	ngram	1	0.000446951
out	31965		31965	0.000428	ngram	1	0.000442261
V	31672		31672	0.000424077	ngram	1	0.000438207
anderen	31052		31052	0.000415775	ngram	1	0.000429629
Maria	30792		30792	0.000412294	ngram	1	0.000426031
duijsent	30715		30715	0.000411263	ngram	1	0.000424966
Hove	30680		30680	0.000410794	ngram	1	0.000424482
opgemelde	30217		30217	0.000404595	ngram	1	0.000418076
wegen	30186		30186	0.00040418	ngram	1	0.000417647
nog	30104		30104	0.000403082	ngram	1	0.000416512
behoeve	29820		29820	0.000399279	ngram	1	0.000412583
nu	29484		29484	0.00039478	ngram	1	0.000407934
maer	28918		28918	0.000387202	ngram	1	0.000400103
naar	28824		28824	0.000385943	ngram	1	0.000398803
groot	28808		28808	0.000385729	ngram	1	0.000398581
betaelt	28718		28718	0.000384524	ngram	1	0.000397336
huijden	28687		28687	0.000384109	ngram	1	0.000396907
Schaef	28618		28618	0.000383185	ngram	1	0.000395952
12	28547		28547	0.000382234	ngram	1	0.00039497
overlijden	28482		28482	0.000381364	ngram	1	0.000394071
weder	28418		28418	0.000380507	ngram	1	0.000393185
veel	28398		28398	0.000380239	ngram	1	0.000392909
acte	28231		28231	0.000378003	ngram	1	0.000390598
Testament	28096		28096	0.000376195	ngram	1	0.00038873
kind	28035		28035	0.000375379	ngram	1	0.000387886
comen	27777		27777	0.000371924	ngram	1	0.000384317
naa	27742		27742	0.000371455	ngram	1	0.000383832
present	27692		27692	0.000370786	ngram	1	0.000383141
H.	27615		27615	0.000369755	ngram	1	0.000382075
Compareerden	27437		27437	0.000367372	ngram	1	0.000379612
geadmitteert	27153		27153	0.000363569	ngram	1	0.000375683
s	26748		26748	0.000358146	ngram	1	0.00037008
goet	26700		26700	0.000357503	ngram	1	0.000369415
vanden	26663		26663	0.000357008	ngram	1	0.000368903
kennen	26592		26592	0.000356057	ngram	1	0.000367921
zy	26552		26552	0.000355522	ngram	1	0.000367368
vandien	26522		26522	0.00035512	ngram	1	0.000366953
sulcx	26467		26467	0.000354384	ngram	1	0.000366192
penningen	26434		26434	0.000353942	ngram	1	0.000365735
uit	26424		26424	0.000353808	ngram	1	0.000365597
